1,0,START,,20:20:00,,#ŽÀŒ±ŠJŽn
371,1,R3_CHECK3,ADD_STOP,22:01:30,,#
372,1,R3_CHECK3,REMOVE_STOP,22:02:30,,#
373,1,R3_CHECK3,ADD_STOP,22:05:30,,#
374,1,R3_CHECK3,REMOVE_STOP,22:06:30,,#
375,1,R3_CHECK3,ADD_STOP,22:09:30,,#
376,1,R3_CHECK3,REMOVE_STOP,22:10:30,,#
377,1,R3_CHECK3,REMOVE_STOP,22:13:30,,#
378,1,R3_CHECK3,ADD_STOP,22:14:30,,#
379,1,R3_CHECK3,REMOVE_STOP,22:17:30,,#
380,1,R3_CHECK3,REMOVE_STOP,22:21:30,,#
381,1,R3_CHECK2,ADD_STOP,20:36:00,,#
382,1,R3_CHECK2,REMOVE_STOP,20:39:00,,#
383,1,R3_CHECK2,ADD_STOP,20:40:00,,#
384,1,R3_CHECK2,REMOVE_STOP,20:43:00,,#
385,1,R3_CHECK2,ADD_STOP,20:44:00,,#
386,1,R3_CHECK2,REMOVE_STOP,20:47:00,,#
387,1,R3_CHECK2,ADD_STOP,20:48:00,,#
388,1,R3_CHECK2,REMOVE_STOP,20:51:00,,#
389,1,R3_CHECK2,ADD_STOP,20:52:00,,#
390,1,R3_CHECK2,REMOVE_STOP,20:55:00,,#
391,1,R3_CHECK2,ADD_STOP,20:56:00,,#
392,1,R3_CHECK2,REMOVE_STOP,20:59:00,,#
393,1,R3_CHECK2,ADD_STOP,21:00:00,,#
394,1,R3_CHECK2,REMOVE_STOP,21:03:00,,#
395,1,R3_CHECK2,ADD_STOP,21:04:00,,#
396,1,R3_CHECK2,REMOVE_STOP,21:07:00,,#
397,1,R3_CHECK2,ADD_STOP,21:08:00,,#
398,1,R3_CHECK2,REMOVE_STOP,21:11:00,,#
399,1,R3_CHECK2,ADD_STOP,21:12:00,,#
400,1,R3_CHECK2,REMOVE_STOP,21:15:00,,#
401,1,R3_CHECK2,ADD_STOP,21:16:00,,#
402,1,R3_CHECK2,REMOVE_STOP,21:19:00,,#
403,1,R3_CHECK2,ADD_STOP,21:20:00,,#
404,1,R3_CHECK2,REMOVE_STOP,21:23:00,,#
405,1,R3_CHECK2,ADD_STOP,21:24:00,,#
406,1,R3_CHECK2,REMOVE_STOP,21:27:00,,#
407,1,R3_CHECK2,ADD_STOP,21:28:00,,#
408,1,R3_CHECK2,REMOVE_STOP,21:31:00,,#
409,1,R3_CHECK2,ADD_STOP,21:32:00,,#
410,1,R3_CHECK2,REMOVE_STOP,21:35:00,,#
411,1,R3_CHECK2,ADD_STOP,21:36:00,,#
412,1,R3_CHECK2,REMOVE_STOP,21:39:00,,#
413,1,R3_CHECK2,ADD_STOP,21:40:00,,#
414,1,R3_CHECK2,REMOVE_STOP,21:43:00,,#
415,1,R3_CHECK2,ADD_STOP,21:44:00,,#
416,1,R3_CHECK2,REMOVE_STOP,21:47:00,,#
417,1,R3_CHECK2,REMOVE_STOP,21:48:00,,#
418,1,R3_CHECK2,ADD_STOP,21:51:00,,#
419,1,R3_CHECK2,REMOVE_STOP,21:52:00,,#
420,1,R3_CHECK2,ADD_STOP,21:55:00,,#
421,1,R3_CHECK2,REMOVE_STOP,21:56:00,,#
422,1,R3_CHECK2,ADD_STOP,21:59:00,,#
423,1,R3_CHECK2,REMOVE_STOP,22:00:00,,#
424,1,R3_CHECK2,ADD_STOP,22:03:00,,#
425,1,R3_CHECK2,REMOVE_STOP,22:04:00,,#
426,1,R3_CHECK2,ADD_STOP,22:07:00,,#
427,1,R3_CHECK2,REMOVE_STOP,22:08:00,,#
428,1,R3_CHECK2,ADD_STOP,22:11:00,,#
429,1,R3_CHECK2,REMOVE_STOP,22:12:00,,#
430,1,R3_CHECK2,REMOVE_STOP,22:15:00,,#
431,1,R3_CHECK2,ADD_STOP,22:16:00,,#
432,1,R3_CHECK2,REMOVE_STOP,22:19:00,,#
433,1,R3_CHECK2,ADD_STOP,22:20:00,,#
434,1,R3_CHECK1,ADD_STOP,20:34:30,,#
435,1,R3_CHECK1,REMOVE_STOP,20:37:30,,#
436,1,R3_CHECK1,ADD_STOP,20:38:30,,#
437,1,R3_CHECK1,REMOVE_STOP,20:41:30,,#
438,1,R3_CHECK1,ADD_STOP,20:42:30,,#
439,1,R3_CHECK1,REMOVE_STOP,20:45:30,,#
440,1,R3_CHECK1,ADD_STOP,20:46:30,,#
441,1,R3_CHECK1,REMOVE_STOP,20:49:30,,#
442,1,R3_CHECK1,ADD_STOP,20:50:30,,#
443,1,R3_CHECK1,REMOVE_STOP,20:53:30,,#
444,1,R3_CHECK1,ADD_STOP,20:54:30,,#
